Catarrhini	17	8661185	14968553	-1	Hedgehog	s1928	scaffold00061
Catarrhini	17	32985955	37268665	1	Hedgehog	s1940	scaffold00336
Catarrhini	17	72282319	86984785	1	Goat	21	chr21
Catarrhini	17	32154598	32538505	-1	Mouse	14	chr14
Catarrhini	17	29139955	86984785	1	Marmoset	10	chr10
Catarrhini	17	77195863	84668647	-1	Elephant	s1956	scaffold_9
Catarrhini	17	79018481	86984785	1	Hedgehog	s1952	scaffold00087
Catarrhini	17	5541678	10701286	-1	Shrew	s1964	scaffold00110
Catarrhini	17	21712716	22002600	-1	Rat	6	chr6
Catarrhini	17	10701286	27609686	1	Shrew	s1965	scaffold00053
Catarrhini	17	50546231	86984785	1	Chicken	5	chr5
Catarrhini	17	21713941	25284869	1	Cow	21	chr21
Catarrhini	17	0	8661185	-1	Hedgehog	s1927	scaffold00027
Catarrhini	17	5423057	32154598	1	Mouse	12	chr12
Catarrhini	17	32538505	38023424	1	Mouse	14	chr14
Catarrhini	17	41729622	49504800	1	Rabbit	20	chr20
Catarrhini	17	22697944	25601525	1	Hedgehog	s1933	scaffold00506
Catarrhini	17	25601525	26673349	-1	Hedgehog	s1934	scaffold00925
Catarrhini	17	22697944	23722158	-1	Opossum	1	chr1
Catarrhini	17	37828775	86984785	1	Rat	6	chr6
Catarrhini	17	21558740	21636727	1	Pig	1	chr1
Catarrhini	17	8661185	21558740	1	Rhesus macaque	7	chr7
Catarrhini	17	8067680	8661185	1	Rhesus macaque	5	chr5
Catarrhini	17	811485	6256307	1	Rhesus macaque	7	chr7
Catarrhini	17	25406518	32538505	1	Goat	10	chr10
Catarrhini	17	15665963	17512923	1	Hedgehog	s1930	scaffold00463
Catarrhini	17	5452784	12633157	1	Guinea pig	s1917	scaffold_77
Catarrhini	17	49504800	55691797	-1	Rabbit	20	chr20
Catarrhini	17	0	2719658	-1	Elephant	s1953	scaffold_118
Catarrhini	17	17512923	20376276	1	Hedgehog	s1931	scaffold00156
Catarrhini	17	811485	5582811	1	Rat	15	chr15
Catarrhini	17	2719658	5569443	1	Elephant	s1954	scaffold_104
Catarrhini	17	60965944	63328267	-1	Hedgehog	s1947	scaffold00156
Catarrhini	17	65829067	73263101	1	Hedgehog	s1949	scaffold00100
Catarrhini	17	26095351	28091483	-1	Opossum	1	chr1
Catarrhini	17	0	86984785	1	Gorilla	14	chr14
